schema_name,table_name,constraint_name,constraint_type,definition
public,app_settings,app_settings_company_id_fkey,FOREIGN KEY,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
public,app_settings,app_settings_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,audit_log,audit_log_action_check,CHECK,"CHECK ((action = ANY (ARRAY['create'::text, 'update'::text, 'delete'::text, 'login'::text, 'logout'::text, 'failed_login'::text])))"
public,audit_log,audit_log_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,branches,branches_company_id_fkey,FOREIGN KEY,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
public,branches,branches_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,branches,branches_company_id_branch_code_key,UNIQUE,"UNIQUE (company_id, branch_code)"
public,budgets,budgets_budget_month_check,CHECK,CHECK (((budget_month >= 1) AND (budget_month <= 12)))
public,budgets,budgets_account_id_fkey,FOREIGN KEY,FOREIGN KEY (account_id) REFERENCES chart_of_accounts(id) ON DELETE CASCADE
public,budgets,budgets_cost_center_id_fkey,FOREIGN KEY,FOREIGN KEY (cost_center_id) REFERENCES cost_centers(id) ON DELETE CASCADE
public,budgets,budgets_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,budgets,budgets_cost_center_id_account_id_budget_year_budget_month_key,UNIQUE,"UNIQUE (cost_center_id, account_id, budget_year, budget_month)"
public,cash_box,cash_box_company_id_fkey,FOREIGN KEY,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
public,cash_box,cash_box_treasury_id_fkey,FOREIGN KEY,FOREIGN KEY (treasury_id) REFERENCES treasury(id) ON DELETE RESTRICT
public,cash_box,cash_box_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,cash_box,cash_box_company_id_voucher_code_key,UNIQUE,"UNIQUE (company_id, voucher_code)"
public,categories,categories_company_id_fkey,FOREIGN KEY,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
public,categories,categories_parent_id_fkey,FOREIGN KEY,FOREIGN KEY (parent_id) REFERENCES categories(id) ON DELETE SET NULL
public,categories,categories_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,chart_of_accounts,chart_of_accounts_company_id_fkey,FOREIGN KEY,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
public,chart_of_accounts,chart_of_accounts_parent_account_id_fkey,FOREIGN KEY,FOREIGN KEY (parent_account_id) REFERENCES chart_of_accounts(id) ON DELETE SET NULL
public,chart_of_accounts,chart_of_accounts_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,chart_of_accounts,chart_of_accounts_company_id_account_code_key,UNIQUE,"UNIQUE (company_id, account_code)"
public,cheques,cheques_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,companies,companies_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,companies,companies_company_code_key,UNIQUE,UNIQUE (company_code)
public,complaint_types,complaint_types_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,complaint_types,complaint_types_company_id_type_name_key,UNIQUE,"UNIQUE (company_id, type_name)"
public,cost_centers,cost_centers_parent_id_fkey,FOREIGN KEY,FOREIGN KEY (parent_id) REFERENCES cost_centers(id) ON DELETE SET NULL
public,cost_centers,cost_centers_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,cost_centers,cost_centers_code_key,UNIQUE,UNIQUE (code)
public,coupons,coupons_type_check,CHECK,"CHECK (((type)::text = ANY ((ARRAY['percentage'::character varying, 'fixed'::character varying])::text[])))"
public,coupons,coupons_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,coupons,coupons_code_key,UNIQUE,UNIQUE (code)
public,credit_block_events,credit_block_events_customer_id_fkey,FOREIGN KEY,FOREIGN KEY (customer_id) REFERENCES customers(id)
public,credit_block_events,credit_block_events_driver_id_fkey,FOREIGN KEY,FOREIGN KEY (driver_id) REFERENCES users(id)
public,credit_block_events,credit_block_events_order_id_fkey,FOREIGN KEY,FOREIGN KEY (order_id) REFERENCES orders(id)
