table_name,column_name,constraint_name,constraint_type
branches,company_id,branches_company_id_branch_code_key,UNIQUE
branches,company_id,branches_company_id_fkey,FOREIGN KEY
branches,id,branches_pkey,PRIMARY KEY
branches,branch_code,branches_company_id_branch_code_key,UNIQUE
inventory_log,company_id,inventory_log_company_id_fkey,FOREIGN KEY
inventory_log,item_id,inventory_log_item_id_fkey,FOREIGN KEY
inventory_log,id,inventory_log_pkey,PRIMARY KEY
items,id,items_pkey,PRIMARY KEY
items,category_id,items_category_id_fkey,FOREIGN KEY
items,company_id,items_company_id_fkey,FOREIGN KEY
items,company_id,items_company_id_item_code_key,UNIQUE
items,item_code,items_company_id_item_code_key,UNIQUE
stock_branches,branch_id,stock_branches_branch_id_fkey,FOREIGN KEY
stock_branches,branch_id,stock_branches_branch_id_item_id_key,UNIQUE
stock_branches,item_id,stock_branches_item_id_fkey,FOREIGN KEY
stock_branches,id,stock_branches_pkey,PRIMARY KEY
stock_branches,item_id,stock_branches_branch_id_item_id_key,UNIQUE
stock_vouchers,to_branch_id,stock_vouchers_to_branch_id_fkey,FOREIGN KEY
stock_vouchers,company_id,stock_vouchers_company_id_fkey,FOREIGN KEY
stock_vouchers,company_id,stock_vouchers_company_id_voucher_code_key,UNIQUE
stock_vouchers,from_branch_id,stock_vouchers_from_branch_id_fkey,FOREIGN KEY
stock_vouchers,id,stock_vouchers_pkey,PRIMARY KEY
stock_vouchers,voucher_code,stock_vouchers_company_id_voucher_code_key,UNIQUE
