constraint_name,constraint_type,table_name,column_name,referenced_table,referenced_column
branches_company_id_branch_code_key,UNIQUE,branches,company_id,branches,branch_code
branches_company_id_branch_code_key,UNIQUE,branches,company_id,branches,company_id
branches_company_id_branch_code_key,UNIQUE,branches,branch_code,branches,company_id
branches_company_id_branch_code_key,UNIQUE,branches,branch_code,branches,branch_code
branches_company_id_fkey,FOREIGN KEY,branches,company_id,companies,id
branches_pkey,PRIMARY KEY,branches,id,branches,id
orders_branch_id_fkey,FOREIGN KEY,orders,branch_id,branches,id
purchase_orders_branch_id_fkey,FOREIGN KEY,purchase_orders,branch_id,branches,id
stock_branches_branch_id_fkey,FOREIGN KEY,stock_branches,branch_id,branches,id
stock_branches_branch_id_item_id_key,UNIQUE,stock_branches,branch_id,stock_branches,branch_id
stock_branches_branch_id_item_id_key,UNIQUE,stock_branches,branch_id,stock_branches,item_id
stock_branches_branch_id_item_id_key,UNIQUE,stock_branches,item_id,stock_branches,branch_id
stock_branches_branch_id_item_id_key,UNIQUE,stock_branches,item_id,stock_branches,item_id
stock_branches_item_id_fkey,FOREIGN KEY,stock_branches,item_id,items,id
stock_branches_pkey,PRIMARY KEY,stock_branches,id,stock_branches,id
stock_vouchers_from_branch_id_fkey,FOREIGN KEY,stock_vouchers,from_branch_id,branches,id
stock_vouchers_to_branch_id_fkey,FOREIGN KEY,stock_vouchers,to_branch_id,branches,id
users_default_branch_id_fkey,FOREIGN KEY,users,default_branch_id,branches,id
