typname,enumlabel
aal_level,aal1
aal_level,aal2
aal_level,aal3
action,INSERT
action,UPDATE
action,DELETE
action,TRUNCATE
action,ERROR
buckettype,STANDARD
buckettype,ANALYTICS
buckettype,VECTOR
code_challenge_method,s256
code_challenge_method,plain
equality_op,eq
equality_op,neq
equality_op,lt
equality_op,lte
equality_op,gt
equality_op,gte
equality_op,in
equality_op,like
equality_op,ilike
equality_op,is
equality_op,match
equality_op,imatch
equality_op,isdistinct
factor_status,unverified
factor_status,verified
factor_type,totp
factor_type,webauthn
factor_type,phone
oauth_authorization_status,pending
oauth_authorization_status,approved
oauth_authorization_status,denied
oauth_authorization_status,expired
oauth_client_type,public
oauth_client_type,confidential
oauth_registration_type,dynamic
oauth_registration_type,manual
oauth_response_type,code
one_time_token_type,confirmation_token
one_time_token_type,reauthentication_token
one_time_token_type,recovery_token
one_time_token_type,email_change_token_new
one_time_token_type,email_change_token_current
one_time_token_type,phone_change_token
