table_name,column_name,foreign_table,foreign_column
app_settings,company_id,companies,id
branches,company_id,companies,id
budgets,cost_center_id,cost_centers,id
budgets,account_id,chart_of_accounts,id
cash_box,treasury_id,treasury,id
cash_box,company_id,companies,id
categories,company_id,companies,id
categories,parent_id,categories,id
chart_of_accounts,parent_account_id,chart_of_accounts,id
chart_of_accounts,company_id,companies,id
cost_centers,parent_id,cost_centers,id
credit_block_events,runsheet_id,runsheets,id
credit_block_events,customer_id,customers,id
credit_block_events,driver_id,users,id
credit_block_events,order_id,orders,id
credit_notes,order_id,orders,id
credit_notes,runsheet_id,runsheets,id
credit_notes,customer_id,customers,id
customer_assignments,customer_id,customers,id
customer_assignments,assigned_by,users,id
customer_assignments,user_id,users,id
customer_ledger,customer_id,customers,id
customers,company_id,companies,id
daily_settlements,driver_id,users,id
daily_settlements,vehicle_id,vehicles,id
daily_settlements,company_id,companies,id
daily_settlements,runsheet_id,runsheets,id
driver_liabilities,runsheet_id,runsheets,id
driver_liabilities,driver_id,users,id
inventory_count_details,count_id,inventory_counts,id
inventory_log,company_id,companies,id
inventory_log,item_id,items,id
items,company_id,companies,id
items,category_id,categories,id
journal_entries,company_id,companies,id
journal_lines,entry_id,journal_entries,id
journal_lines,cost_center_id,cost_centers,id
journal_lines,account_id,chart_of_accounts,id
order_details,order_id,orders,id
order_details,item_id,items,id
orders,sales_rep_id,users,id
orders,customer_id,customers,id
orders,company_id,companies,id
orders,runsheet_id,runsheets,id
orders,branch_id,branches,id
purchase_order_details,item_id,items,id
purchase_order_details,po_id,purchase_orders,id
purchase_orders,branch_id,branches,id
purchase_orders,company_id,companies,id
purchase_orders,supplier_id,suppliers,id
receiving,company_id,companies,id
receiving_details,operation_id,receiving,operation_id
return_reasons,company_id,companies,id
role_permissions,role_id,roles,id
roles,company_id,companies,id
run_sheet_details,runsheet_id,runsheets,id
run_sheet_details,item_id,items,id
runsheets,deliverer_id,users,id
runsheets,picker_id,users,id
runsheets,vehicle_id,vehicles,id
runsheets,driver_id,users,id
runsheets,company_id,companies,id
runsheets,return_handler_id,users,id
runsheets,loader_id,users,id
service_complaints,reviewed_by,users,id
service_complaints,employee_id,users,id
service_complaints,runsheet_id,runsheets,id
service_complaints,order_id,orders,id
service_complaints,liability_id,driver_liabilities,id
service_complaints,complaint_type_id,complaint_types,id
stock_branches,item_id,items,id
stock_branches,branch_id,branches,id
stock_discrepancies,reported_by,users,id
stock_discrepancies,runsheet_id,runsheets,id
stock_voucher_details,voucher_id,stock_vouchers,id
stock_voucher_details,item_id,items,id
stock_vouchers,from_branch_id,branches,id
stock_vouchers,to_branch_id,branches,id
stock_vouchers,company_id,companies,id
supplier_ledger,supplier_id,suppliers,id
suppliers,company_id,companies,id
treasury,company_id,companies,id
users,company_id,companies,id
users,role_id,roles,id
users,default_branch_id,branches,id
vehicle_tracking,driver_id,users,id
vehicles,company_id,companies,id
vehicles,driver_id,users,id
workflow_log,rule_id,workflow_rules,id
