tablename,indexname,indexdef
app_settings,app_settings_pkey,CREATE UNIQUE INDEX app_settings_pkey ON public.app_settings USING btree (id)
audit_log,audit_log_pkey,CREATE UNIQUE INDEX audit_log_pkey ON public.audit_log USING btree (id)
audit_log,idx_audit_log_user,CREATE INDEX idx_audit_log_user ON public.audit_log USING btree (user_email)
audit_log,idx_audit_log_created,CREATE INDEX idx_audit_log_created ON public.audit_log USING btree (created_at DESC)
audit_log,idx_audit_log_table,CREATE INDEX idx_audit_log_table ON public.audit_log USING btree (table_name)
audit_log,idx_audit_log_action,CREATE INDEX idx_audit_log_action ON public.audit_log USING btree (action)
branches,branches_pkey,CREATE UNIQUE INDEX branches_pkey ON public.branches USING btree (id)
branches,idx_branches_company,CREATE INDEX idx_branches_company ON public.branches USING btree (company_id)
branches,branches_company_id_branch_code_key,"CREATE UNIQUE INDEX branches_company_id_branch_code_key ON public.branches USING btree (company_id, branch_code)"
budgets,budgets_cost_center_id_account_id_budget_year_budget_month_key,"CREATE UNIQUE INDEX budgets_cost_center_id_account_id_budget_year_budget_month_key ON public.budgets USING btree (cost_center_id, account_id, budget_year, budget_month)"
budgets,budgets_pkey,CREATE UNIQUE INDEX budgets_pkey ON public.budgets USING btree (id)
budgets,idx_budgets_year_month,"CREATE INDEX idx_budgets_year_month ON public.budgets USING btree (budget_year, budget_month)"
cash_box,cash_box_pkey,CREATE UNIQUE INDEX cash_box_pkey ON public.cash_box USING btree (id)
cash_box,cash_box_company_id_voucher_code_key,"CREATE UNIQUE INDEX cash_box_company_id_voucher_code_key ON public.cash_box USING btree (company_id, voucher_code)"
cash_box,idx_cash_box_company,CREATE INDEX idx_cash_box_company ON public.cash_box USING btree (company_id)
categories,categories_pkey,CREATE UNIQUE INDEX categories_pkey ON public.categories USING btree (id)
chart_of_accounts,chart_of_accounts_company_id_account_code_key,"CREATE UNIQUE INDEX chart_of_accounts_company_id_account_code_key ON public.chart_of_accounts USING btree (company_id, account_code)"
chart_of_accounts,chart_of_accounts_pkey,CREATE UNIQUE INDEX chart_of_accounts_pkey ON public.chart_of_accounts USING btree (id)
chart_of_accounts,idx_chart_of_accounts_company,CREATE INDEX idx_chart_of_accounts_company ON public.chart_of_accounts USING btree (company_id)
cheques,cheques_pkey,CREATE UNIQUE INDEX cheques_pkey ON public.cheques USING btree (id)
cheques,idx_cheques_due_date,CREATE INDEX idx_cheques_due_date ON public.cheques USING btree (due_date)
cheques,idx_cheques_status,CREATE INDEX idx_cheques_status ON public.cheques USING btree (status)
companies,idx_companies_code,CREATE INDEX idx_companies_code ON public.companies USING btree (company_code)
companies,companies_company_code_key,CREATE UNIQUE INDEX companies_company_code_key ON public.companies USING btree (company_code)
companies,companies_pkey,CREATE UNIQUE INDEX companies_pkey ON public.companies USING btree (id)
complaint_types,complaint_types_company_id_type_name_key,"CREATE UNIQUE INDEX complaint_types_company_id_type_name_key ON public.complaint_types USING btree (company_id, type_name)"
complaint_types,complaint_types_pkey,CREATE UNIQUE INDEX complaint_types_pkey ON public.complaint_types USING btree (id)
cost_centers,idx_cost_centers_active,CREATE INDEX idx_cost_centers_active ON public.cost_centers USING btree (is_active)
cost_centers,cost_centers_pkey,CREATE UNIQUE INDEX cost_centers_pkey ON public.cost_centers USING btree (id)
cost_centers,cost_centers_code_key,CREATE UNIQUE INDEX cost_centers_code_key ON public.cost_centers USING btree (code)
cost_centers,idx_cost_centers_parent,CREATE INDEX idx_cost_centers_parent ON public.cost_centers USING btree (parent_id)
coupons,idx_coupons_code,CREATE INDEX idx_coupons_code ON public.coupons USING btree (code) WHERE (is_active = true)
coupons,idx_coupons_dates,"CREATE INDEX idx_coupons_dates ON public.coupons USING btree (starts_at, ends_at) WHERE (is_active = true)"
coupons,idx_coupons_active,CREATE INDEX idx_coupons_active ON public.coupons USING btree (is_active)
coupons,coupons_code_key,CREATE UNIQUE INDEX coupons_code_key ON public.coupons USING btree (code)
coupons,coupons_pkey,CREATE UNIQUE INDEX coupons_pkey ON public.coupons USING btree (id)
credit_block_events,credit_block_events_pkey,CREATE UNIQUE INDEX credit_block_events_pkey ON public.credit_block_events USING btree (id)
credit_notes,credit_notes_pkey,CREATE UNIQUE INDEX credit_notes_pkey ON public.credit_notes USING btree (id)
customer_assignments,customer_assignments_user_id_customer_id_key,"CREATE UNIQUE INDEX customer_assignments_user_id_customer_id_key ON public.customer_assignments USING btree (user_id, customer_id)"
customer_assignments,customer_assignments_pkey,CREATE UNIQUE INDEX customer_assignments_pkey ON public.customer_assignments USING btree (id)
customer_followups,customer_followups_pkey,CREATE UNIQUE INDEX customer_followups_pkey ON public.customer_followups USING btree (id)
customer_followups,idx_followups_status,CREATE INDEX idx_followups_status ON public.customer_followups USING btree (status)
customer_followups,idx_followups_customer,CREATE INDEX idx_followups_customer ON public.customer_followups USING btree (customer_id)
customer_ledger,customer_ledger_pkey,CREATE UNIQUE INDEX customer_ledger_pkey ON public.customer_ledger USING btree (id)
customers,customers_company_id_customer_code_key,"CREATE UNIQUE INDEX customers_company_id_customer_code_key ON public.customers USING btree (company_id, customer_code)"
customers,customers_pkey,CREATE UNIQUE INDEX customers_pkey ON public.customers USING btree (id)
customers,idx_customers_company,CREATE INDEX idx_customers_company ON public.customers USING btree (company_id)
daily_settlements,daily_settlements_pkey,CREATE UNIQUE INDEX daily_settlements_pkey ON public.daily_settlements USING btree (id)
daily_settlements,daily_settlements_company_id_settlement_code_key,"CREATE UNIQUE INDEX daily_settlements_company_id_settlement_code_key ON public.daily_settlements USING btree (company_id, settlement_code)"
daily_settlements,uq_daily_settlement_runsheet,CREATE UNIQUE INDEX uq_daily_settlement_runsheet ON public.daily_settlements USING btree (runsheet_id)
driver_ledger,driver_ledger_pkey,CREATE UNIQUE INDEX driver_ledger_pkey ON public.driver_ledger USING btree (id)
driver_liabilities,driver_liabilities_pkey,CREATE UNIQUE INDEX driver_liabilities_pkey ON public.driver_liabilities USING btree (id)
installment_details,installment_details_pkey,CREATE UNIQUE INDEX installment_details_pkey ON public.installment_details USING btree (id)
installments,installments_installment_id_key,CREATE UNIQUE INDEX installments_installment_id_key ON public.installments USING btree (installment_id)
installments,installments_pkey,CREATE UNIQUE INDEX installments_pkey ON public.installments USING btree (id)
installments,idx_installments_status,CREATE INDEX idx_installments_status ON public.installments USING btree (status)
installments,idx_installments_customer,CREATE INDEX idx_installments_customer ON public.installments USING btree (customer_id)
inventory_count_details,inventory_count_details_pkey,CREATE UNIQUE INDEX inventory_count_details_pkey ON public.inventory_count_details USING btree (id)
inventory_counts,inventory_counts_pkey,CREATE UNIQUE INDEX inventory_counts_pkey ON public.inventory_counts USING btree (id)
inventory_log,inventory_log_pkey,CREATE UNIQUE INDEX inventory_log_pkey ON public.inventory_log USING btree (id)
inventory_log,idx_inventory_log_item,CREATE INDEX idx_inventory_log_item ON public.inventory_log USING btree (item_id)
items,idx_items_daily_deal,CREATE INDEX idx_items_daily_deal ON public.items USING btree (is_daily_deal) WHERE (is_daily_deal = true)
items,items_pkey,CREATE UNIQUE INDEX items_pkey ON public.items USING btree (id)
items,items_company_id_item_code_key,"CREATE UNIQUE INDEX items_company_id_item_code_key ON public.items USING btree (company_id, item_code)"
items,idx_items_company,CREATE INDEX idx_items_company ON public.items USING btree (company_id)
items,idx_items_code,CREATE INDEX idx_items_code ON public.items USING btree (item_code)
items,idx_items_search,CREATE INDEX idx_items_search ON public.items USING btree (search_label)
items,idx_items_discount_active,"CREATE INDEX idx_items_discount_active ON public.items USING btree (discount_percent, discount_start, discount_end) WHERE (discount_percent > (0)::numeric)"
journal_entries,journal_entries_company_id_entry_code_key,"CREATE UNIQUE INDEX journal_entries_company_id_entry_code_key ON public.journal_entries USING btree (company_id, entry_code)"
journal_entries,journal_entries_pkey,CREATE UNIQUE INDEX journal_entries_pkey ON public.journal_entries USING btree (id)
journal_entries,idx_journal_entries_company,CREATE INDEX idx_journal_entries_company ON public.journal_entries USING btree (company_id)
journal_lines,idx_journal_lines_entry,CREATE INDEX idx_journal_lines_entry ON public.journal_lines USING btree (entry_id)
journal_lines,journal_lines_pkey,CREATE UNIQUE INDEX journal_lines_pkey ON public.journal_lines USING btree (id)
journal_lines,idx_journal_lines_cost_center,CREATE INDEX idx_journal_lines_cost_center ON public.journal_lines USING btree (cost_center_id)
loyalty_points,loyalty_points_pkey,CREATE UNIQUE INDEX loyalty_points_pkey ON public.loyalty_points USING btree (id)
loyalty_points,idx_loyalty_customer,CREATE INDEX idx_loyalty_customer ON public.loyalty_points USING btree (customer_id)
notification_templates,notification_templates_pkey,CREATE UNIQUE INDEX notification_templates_pkey ON public.notification_templates USING btree (id)
notification_templates,notification_templates_code_key,CREATE UNIQUE INDEX notification_templates_code_key ON public.notification_templates USING btree (code)
notifications,notifications_pkey,CREATE UNIQUE INDEX notifications_pkey ON public.notifications USING btree (id)
order_details,order_details_pkey,CREATE UNIQUE INDEX order_details_pkey ON public.order_details USING btree (id)
orders,idx_orders_customer,CREATE INDEX idx_orders_customer ON public.orders USING btree (customer_id)
orders,orders_pkey,CREATE UNIQUE INDEX orders_pkey ON public.orders USING btree (id)
orders,orders_company_id_order_code_key,"CREATE UNIQUE INDEX orders_company_id_order_code_key ON public.orders USING btree (company_id, order_code)"
orders,idx_orders_company,CREATE INDEX idx_orders_company ON public.orders USING btree (company_id)
orders,idx_orders_runsheet,CREATE INDEX idx_orders_runsheet ON public.orders USING btree (runsheet_id)
orders,idx_orders_customer_email,CREATE INDEX idx_orders_customer_email ON public.orders USING btree (customer_email) WHERE (customer_email IS NOT NULL)
orders,idx_orders_tracking_token,CREATE INDEX idx_orders_tracking_token ON public.orders USING btree (tracking_token)
orders,idx_orders_source,CREATE INDEX idx_orders_source ON public.orders USING btree (source)
owner_profile,owner_profile_owner_email_key,CREATE UNIQUE INDEX owner_profile_owner_email_key ON public.owner_profile USING btree (owner_email)
owner_profile,owner_profile_auth_user_id_key,CREATE UNIQUE INDEX owner_profile_auth_user_id_key ON public.owner_profile USING btree (auth_user_id)
owner_profile,owner_profile_pkey,CREATE UNIQUE INDEX owner_profile_pkey ON public.owner_profile USING btree (id)
purchase_order_details,purchase_order_details_pkey,CREATE UNIQUE INDEX purchase_order_details_pkey ON public.purchase_order_details USING btree (id)
purchase_orders,idx_purchase_orders_company,CREATE INDEX idx_purchase_orders_company ON public.purchase_orders USING btree (company_id)
purchase_orders,purchase_orders_pkey,CREATE UNIQUE INDEX purchase_orders_pkey ON public.purchase_orders USING btree (id)
purchase_orders,purchase_orders_company_id_po_code_key,"CREATE UNIQUE INDEX purchase_orders_company_id_po_code_key ON public.purchase_orders USING btree (company_id, po_code)"
receiving,receiving_pkey,CREATE UNIQUE INDEX receiving_pkey ON public.receiving USING btree (id)
receiving,idx_receiving_po_number,CREATE INDEX idx_receiving_po_number ON public.receiving USING btree (po_number)
receiving,receiving_operation_id_key,CREATE UNIQUE INDEX receiving_operation_id_key ON public.receiving USING btree (operation_id)
receiving,idx_receiving_operation,CREATE INDEX idx_receiving_operation ON public.receiving USING btree (operation_id)
receiving_details,receiving_details_pkey,CREATE UNIQUE INDEX receiving_details_pkey ON public.receiving_details USING btree (id)
receiving_details,idx_receiving_details_operation,CREATE INDEX idx_receiving_details_operation ON public.receiving_details USING btree (operation_id)
return_reasons,return_reasons_company_id_reason_code_key,"CREATE UNIQUE INDEX return_reasons_company_id_reason_code_key ON public.return_reasons USING btree (company_id, reason_code)"
return_reasons,return_reasons_pkey,CREATE UNIQUE INDEX return_reasons_pkey ON public.return_reasons USING btree (id)
