table_name,column_name
app_settings,id
audit_log,id
branches,id
budgets,id
cash_box,id
categories,id
chart_of_accounts,id
cheques,id
companies,id
complaint_types,id
cost_centers,id
coupons,id
credit_block_events,id
credit_notes,id
customer_assignments,id
customer_followups,id
customer_ledger,id
customers,id
daily_settlements,id
driver_ledger,id
driver_liabilities,id
installment_details,id
installments,id
inventory_count_details,id
inventory_counts,id
inventory_log,id
items,id
journal_entries,id
journal_lines,id
loyalty_points,id
notification_templates,id
notifications,id
order_details,id
orders,id
owner_profile,id
purchase_order_details,id
purchase_orders,id
receiving,id
receiving_details,id
return_reasons,id
role_permissions,id
roles,id
run_sheet_details,id
runsheets,id
service_complaints,id
stock_branches,id
stock_discrepancies,id
stock_voucher_details,id
stock_vouchers,id
supplier_ledger,id
suppliers,id
treasury,id
users,id
users,id
vehicle_tracking,id
vehicles,id
work_order_details,id
work_orders,id
workflow_log,id
workflow_rules,id
workflows,id
