table_name,column_name,data_type,is_nullable,column_default
app_settings,id,uuid,NO,gen_random_uuid()
app_settings,company_id,uuid,NO,null
app_settings,delivery_fee,numeric,YES,0
app_settings,min_invoice_amount,numeric,YES,0
app_settings,tax_rate,numeric,YES,0
app_settings,company_phone,character varying,YES,null
app_settings,company_name,character varying,YES,null
app_settings,company_logo,text,YES,null
app_settings,runsheet_serial,integer,YES,1
app_settings,order_serial,integer,YES,1
app_settings,created_at,timestamp with time zone,YES,now()
app_settings,updated_at,timestamp with time zone,YES,now()
app_settings,status,character varying,YES,'trial'::character varying
app_settings,trial_end_date,date,YES,null
app_settings,subscription_end_date,date,YES,null
app_settings,store_name,character varying,YES,null
app_settings,store_logo,text,YES,null
app_settings,store_primary_color,character varying,YES,'#2563eb'::character varying
app_settings,store_secondary_color,character varying,YES,'#1e40af'::character varying
app_settings,payment_method,character varying,YES,'both'::character varying
app_settings,currency,character varying,YES,'SAR'::character varying
app_settings,main_branch_id,uuid,YES,null
audit_log,id,uuid,NO,gen_random_uuid()
audit_log,user_email,text,YES,null
audit_log,action,text,NO,null
audit_log,table_name,text,YES,null
audit_log,record_id,text,YES,null
audit_log,old_data,jsonb,YES,null
audit_log,new_data,jsonb,YES,null
audit_log,ip_address,text,YES,null
audit_log,user_agent,text,YES,null
audit_log,created_at,timestamp with time zone,NO,now()
branches,id,uuid,NO,gen_random_uuid()
branches,company_id,uuid,NO,null
branches,branch_code,character varying,NO,null
branches,name,character varying,NO,null
branches,location,text,YES,null
branches,manager,character varying,YES,null
branches,phone,character varying,YES,null
branches,is_active,boolean,YES,true
branches,created_at,timestamp with time zone,YES,now()
branches,updated_at,timestamp with time zone,YES,now()
budgets,id,uuid,NO,gen_random_uuid()
budgets,cost_center_id,uuid,YES,null
budgets,account_id,uuid,YES,null
budgets,budget_year,integer,NO,null
budgets,budget_month,integer,NO,null
budgets,budgeted_amount,numeric,YES,0
budgets,notes,text,YES,null
budgets,created_at,timestamp with time zone,YES,now()
budgets,updated_at,timestamp with time zone,YES,now()
cash_box,id,uuid,NO,gen_random_uuid()
cash_box,company_id,uuid,NO,null
cash_box,voucher_code,character varying,NO,null
cash_box,voucher_date,date,NO,CURRENT_DATE
cash_box,treasury_id,uuid,NO,null
cash_box,type,character varying,NO,null
cash_box,amount,numeric,NO,null
cash_box,source_type,character varying,YES,null
cash_box,source_id,uuid,YES,null
cash_box,source_name,character varying,YES,null
cash_box,reference,character varying,YES,null
cash_box,received_by,character varying,YES,null
cash_box,notes,text,YES,null
cash_box,status,character varying,YES,'Active'::character varying
cash_box,user_email,character varying,YES,null
cash_box,created_at,timestamp with time zone,YES,now()
cash_box,updated_at,timestamp with time zone,YES,now()
categories,id,uuid,NO,gen_random_uuid()
categories,company_id,uuid,NO,null
categories,category_name,character varying,NO,null
categories,parent_id,uuid,YES,null
categories,image_url,text,YES,null
categories,icon,character varying,YES,null
categories,created_at,timestamp with time zone,YES,now()
categories,updated_at,timestamp with time zone,YES,now()
chart_of_accounts,id,uuid,NO,gen_random_uuid()
chart_of_accounts,company_id,uuid,NO,null
chart_of_accounts,account_code,character varying,NO,null
chart_of_accounts,account_name,character varying,NO,null
